lat-lng,price,number of rooms
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.122414"" data-longitude=""-122.693808"" id=""map""></div>]",$309900,/ 2br - 1139ft
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.122454"" data-longitude=""-122.693867"" id=""map""></div>]",$304900,/ 2br - 1128ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.102027"" data-longitude=""-122.704368"" id=""map""></div>]",$669900,/ 12593ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.101915"" data-longitude=""-122.704539"" id=""map""></div>]",$669900,/ 12004ft
[],$330000,/ 2br - 700ft
[],$16000,N/A
[],$299900,/ 2br - 656ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.266688"" data-longitude=""-122.980829"" id=""map""></div>]",$1288000,/ 1050ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""50.126893"" data-longitude=""-122.955894"" id=""map""></div>]",$2249000,/ 6br - 3157ft
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.093527"" data-longitude=""-116.501620"" id=""map""></div>]",$148500,/ 2br - 1320ft
[],$369000,/ 2br - 986ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.130059"" data-longitude=""-122.691470"" id=""map""></div>]",$699000,/ 6br - 3338ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.184530"" data-longitude=""-122.855262"" id=""map""></div>]",$613900,/ 6br - 2968ft
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.121692"" data-longitude=""-122.685742"" id=""map""></div>]",$199000,/ 1br - 760ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.144428"" data-longitude=""-122.891815"" id=""map""></div>]",$264900,/ 2br - 1379ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.238948"" data-longitude=""-121.911651"" id=""map""></div>]",$128000,/ 2br - 980ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.161892"" data-longitude=""-121.947213"" id=""map""></div>]",$134900,/ 2br - 980ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.384020"" data-longitude=""-121.457370"" id=""map""></div>]",$599000,/ 3br - 3270ft
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.177549"" data-longitude=""-121.935783"" id=""map""></div>]",$149900,/ 2br - 1200ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.384775"" data-longitude=""-121.459007"" id=""map""></div>]",$599000,/ 3br - 3270ft
[],$1250000,/ 7500ft
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.148201"" data-longitude=""-122.695195"" id=""map""></div>]",$3200000,/ 7000ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.153724"" data-longitude=""-122.757713"" id=""map""></div>]",$779000,/ 8br - 7200ft
[],$229000,/ 3br - 1198ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.100980"" data-longitude=""-122.666579"" id=""map""></div>]",$289800,/ 2br - 1100ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.233306"" data-longitude=""-123.036850"" id=""map""></div>]",$198000,/ 1br - 500ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.246796"" data-longitude=""-122.818634"" id=""map""></div>]",$669900,/ 3br - 2074ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.250068"" data-longitude=""-122.589505"" id=""map""></div>]",$644900,/ 5br - 3614ft
[],$190000,/ 2br - 1350ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.256244"" data-longitude=""-122.840904"" id=""map""></div>]",$988800,/ 2br - 1550ft
[],$26000,N/A
