lat-lng,price,number of rooms
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.260877"" data-longitude=""-122.786250"" id=""map""></div>]",$130000,/ 2br - 880ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.206482"" data-longitude=""-122.909646"" id=""map""></div>]",$239900,/ 2br - 864ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.167956"" data-longitude=""-122.133551"" id=""map""></div>]",$378888,/ 2br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.207673"" data-longitude=""-122.648320"" id=""map""></div>]",$515000,/ 3br -
[],$389900,/ 6br - 2900ft
[],$798000,/ 5br - 2262ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.160512"" data-longitude=""-122.916337"" id=""map""></div>]",$575000,/ 3br - 1500ft
[],$859900,/ 2br - 908ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.282711"" data-longitude=""-123.125908"" id=""map""></div>]",$1198000,/ 1222ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.132815"" data-longitude=""-123.173317"" id=""map""></div>]",$849900,/ 3br - 2150ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.282711"" data-longitude=""-123.125908"" id=""map""></div>]",$609000,/ 1br - 663ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.278756"" data-longitude=""-123.112640"" id=""map""></div>]",$595000,/ 1br - 818ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.212509"" data-longitude=""-123.145911"" id=""map""></div>]",$2098000,/ 4br - 2770ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.276920"" data-longitude=""-123.116883"" id=""map""></div>]",$684900,/ 2br - 1103ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.276482"" data-longitude=""-123.117359"" id=""map""></div>]",$619800,/ 2br - 1103ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.125220"" data-longitude=""-123.176004"" id=""map""></div>]",$589900,/ 2br - 1323ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.274183"" data-longitude=""-123.005883"" id=""map""></div>]",$438000,/ 2br - 899ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.132722"" data-longitude=""-122.884731"" id=""map""></div>]",$295000,/ 2br - 1590ft
"[<div class=""viewposting"" data-accuracy=""10"" data-latitude=""49.149243"" data-longitude=""-122.776799"" id=""map""></div>]",$679900,/ 8br - 3850ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.259786"" data-longitude=""-123.127078"" id=""map""></div>]",$279900,/ 1br - 412ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.165487"" data-longitude=""-123.141188"" id=""map""></div>]",$239000,/ 1br - 650ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.155597"" data-longitude=""-123.181008"" id=""map""></div>]",$313000,/ 2br - 1140ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.192124"" data-longitude=""-122.856366"" id=""map""></div>]",$199000,/ 1br - 569ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.041818"" data-longitude=""-122.283729"" id=""map""></div>]",$15900,N/A
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.148570"" data-longitude=""-122.888155"" id=""map""></div>]",$250000,/ 2br - 913ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.161902"" data-longitude=""-122.806765"" id=""map""></div>]",$599000,/ 5br - 1880ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.248983"" data-longitude=""-123.210125"" id=""map""></div>]",$868000,/ 2br - 872ft
"[<div class=""viewposting"" data-accuracy=""10"" data-latitude=""49.206249"" data-longitude=""-122.935150"" id=""map""></div>]",$725000,N/A
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.197740"" data-longitude=""-123.108203"" id=""map""></div>]",$608000,/ 2br - 1215ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.197740"" data-longitude=""-123.108203"" id=""map""></div>]",$608000,/ 2br - 1215ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.172083"" data-longitude=""-123.163745"" id=""map""></div>]",$235000,/ 1br -
[],$1150000,/ 29516ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.338691"" data-longitude=""-123.252472"" id=""map""></div>]",$4980000,/ 4br - 3594ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.099269"" data-longitude=""-122.667450"" id=""map""></div>]",$629900,/ 4br - 2830ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.031519"" data-longitude=""-123.075347"" id=""map""></div>]",$1500000,/ 6br - 4000ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.159789"" data-longitude=""-121.960909"" id=""map""></div>]",$67900,/ 2br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.136407"" data-longitude=""-121.959121"" id=""map""></div>]",$173000,/ 3br -
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.091876"" data-longitude=""-122.666918"" id=""map""></div>]",$475000,/ 3br - 1300ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.253297"" data-longitude=""-122.791314"" id=""map""></div>]",$269800,/ 2br - 1026ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.217289"" data-longitude=""-122.651496"" id=""map""></div>]",$289900,/ 3br - 1301ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.330701"" data-longitude=""-123.154965"" id=""map""></div>]",$229000,/ 1br - 630ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.161892"" data-longitude=""-121.947213"" id=""map""></div>]",$134900,/ 2br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.158775"" data-longitude=""-121.961200"" id=""map""></div>]",$69900,/ 2br -
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.224593"" data-longitude=""-122.910104"" id=""map""></div>]",$998000,/ 3br - 2867ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.313948"" data-longitude=""-123.080795"" id=""map""></div>]",$699000,/ 2br - 1079ft
[],$378000,/ 2br - 983ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.169840"" data-longitude=""-121.948616"" id=""map""></div>]",$59900,/ 1br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.171596"" data-longitude=""-121.945681"" id=""map""></div>]",$74900,/ 2br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.170790"" data-longitude=""-121.948369"" id=""map""></div>]",$74900,/ 2br -
[],$799000,/ 3br - 1546ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.168771"" data-longitude=""-121.935356"" id=""map""></div>]",$121900,/ 2br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.165661"" data-longitude=""-121.955737"" id=""map""></div>]",$249900,/ 3br -
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.212409"" data-longitude=""-123.140563"" id=""map""></div>]",$309000,/ 1br - 600ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.166930"" data-longitude=""-121.961432"" id=""map""></div>]",$134900,/ 2br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.030890"" data-longitude=""-122.804275"" id=""map""></div>]",$109898,/ 1br - 720ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""51.831916"" data-longitude=""-120.626793"" id=""map""></div>]",$214000,N/A
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.253549"" data-longitude=""-122.927538"" id=""map""></div>]",$1300000,/ 3br - 1343ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.218004"" data-longitude=""-122.955680"" id=""map""></div>]",$385000,/ 2br - 790ft
[],$38000,/ 8515ft
[],$3200000,/ 4br - 7320ft
[],$135900,/ 2br - 1300ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.223739"" data-longitude=""-122.918817"" id=""map""></div>]",$888000,/ 4br - 2007ft
[],$599900,/ 3br - 2434ft
