lat-lng,price,number of rooms
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.181731"" data-longitude=""-122.899604"" id=""map""></div>]",$415000,/ 1000ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.216687"" data-longitude=""-123.117018"" id=""map""></div>]",$598000,/ 3br - 1790ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.122659"" data-longitude=""-122.655595"" id=""map""></div>]",$339000,/ 3br - 1437ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.112120"" data-longitude=""-122.854621"" id=""map""></div>]",$659000,/ 4br - 2061ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.230366"" data-longitude=""-123.105702"" id=""map""></div>]",$1298000,/ 3br - 1565ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.173631"" data-longitude=""-123.135077"" id=""map""></div>]",$429000,/ 1br - 772ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.125641"" data-longitude=""-122.817155"" id=""map""></div>]",$769000,/ 8br - 3712ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.184126"" data-longitude=""-122.845926"" id=""map""></div>]",$245000,/ 2br - 927ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.018435"" data-longitude=""-122.783252"" id=""map""></div>]",$1199000,/ 4br - 3683ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.202788"" data-longitude=""-122.911271"" id=""map""></div>]",$279900,/ 1br - 811ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.060422"" data-longitude=""-122.815571"" id=""map""></div>]",$889000,/ 4br - 3157ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.160797"" data-longitude=""-122.632860"" id=""map""></div>]",$425000,/ 3br - 1499ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.126548"" data-longitude=""-122.866869"" id=""map""></div>]",$639800,/ 5br - 2446ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.257936"" data-longitude=""-123.172975"" id=""map""></div>]",$1188888,/ 5br - 2472ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.310591"" data-longitude=""-122.871225"" id=""map""></div>]",$339888,/ 2br - 868ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.116678"" data-longitude=""-122.566493"" id=""map""></div>]",$1988000,/ 6br - 6092ft
[],$519900,/ 1br - 625ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.286921"" data-longitude=""-123.122360"" id=""map""></div>]",$1225000,/ 2br - 1080ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""46.960939"" data-longitude=""-123.040502"" id=""map""></div>]",$30000,N/A
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.278910"" data-longitude=""-123.130791"" id=""map""></div>]",$486800,/ 1br - 644ft
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.200116"" data-longitude=""-122.924566"" id=""map""></div>]",$459900,/ 1br - 1203ft
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.460733"" data-longitude=""-123.233514"" id=""map""></div>]",$1170000,/ 3br - 2300ft
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.260474"" data-longitude=""-123.096035"" id=""map""></div>]",$419900,/ 1br - 594ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.227844"" data-longitude=""-122.888559"" id=""map""></div>]",$265000,/ 2br - 805ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.171395"" data-longitude=""-122.869728"" id=""map""></div>]",$1995000,/ 8br - 10000ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.057980"" data-longitude=""-122.252570"" id=""map""></div>]",$509999,/ 5br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.112833"" data-longitude=""-122.852965"" id=""map""></div>]",$699000,/ 7br -
[],$699888,/ 8br - 3828ft
[],$999888,/ 6br - 3800ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.300390"" data-longitude=""-121.777353"" id=""map""></div>]",$649000,/ 5br - 3466ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.265218"" data-longitude=""-123.095705"" id=""map""></div>]",$273900,/ 1br - 555ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.238616"" data-longitude=""-122.857533"" id=""map""></div>]",$229000,/ 2br - 836ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.715717"" data-longitude=""-123.155825"" id=""map""></div>]",$739000,/ 3br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.157180"" data-longitude=""-123.188453"" id=""map""></div>]",$1088000,/ 3br - 5991ft
[],$469900,/ 2br - 1220ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.155341"" data-longitude=""-122.809811"" id=""map""></div>]",$1079900,/ 8br - 5634ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.166862"" data-longitude=""-122.812042"" id=""map""></div>]",$415000,N/A
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.184126"" data-longitude=""-122.845926"" id=""map""></div>]",$259900,/ 2br - 894ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.220390"" data-longitude=""-123.066977"" id=""map""></div>]",$1300000,/ 5br -
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.027699"" data-longitude=""-122.823033"" id=""map""></div>]",$2498000,/ 6br - 4561ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.223558"" data-longitude=""-123.089937"" id=""map""></div>]",$1898000,/ 8br - 3277ft
[],$589990,/ 4br - 2000ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.274710"" data-longitude=""-121.239427"" id=""map""></div>]",$269900,/ 4br - 2275ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.058424"" data-longitude=""-122.481553"" id=""map""></div>]",$187000,/ 3br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.273013"" data-longitude=""-121.238465"" id=""map""></div>]",$369900,/ 4br - 2355ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.270829"" data-longitude=""-121.232243"" id=""map""></div>]",$109900,/ 3br - 900ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.274434"" data-longitude=""-121.239163"" id=""map""></div>]",$59900,/ 13790ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.283120"" data-longitude=""-121.238122"" id=""map""></div>]",$129900,/ 2br - 600ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.274182"" data-longitude=""-122.842461"" id=""map""></div>]",$218800,/ 1br - 640ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.024011"" data-longitude=""-122.798290"" id=""map""></div>]",$274900,/ 990ft
