lat-lng,price,number of rooms
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.339370"" data-longitude=""-123.104473"" id=""map""></div>]",$1999000,/ 5br - 3000ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.125132"" data-longitude=""-122.816484"" id=""map""></div>]",$675000,/ 8br - 3281ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.108571"" data-longitude=""-122.650140"" id=""map""></div>]",$175000,/ 2br - 1053ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.003083"" data-longitude=""-122.752841"" id=""map""></div>]",$998888,/ 6br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.067422"" data-longitude=""-122.647320"" id=""map""></div>]",$798888,/ 43604ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.238308"" data-longitude=""-122.827792"" id=""map""></div>]",$4600000,N/A
[],$1300000,N/A
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.131126"" data-longitude=""-122.863545"" id=""map""></div>]",$498000,/ 3br - 1280ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.105985"" data-longitude=""-122.723806"" id=""map""></div>]",$575000,/ 3br -
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.134088"" data-longitude=""-122.869658"" id=""map""></div>]",$149900,/ 1br - 692ft
[],$714900,/ 2br - 902ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""48.944489"" data-longitude=""-122.767668"" id=""map""></div>]",$79900,N/A
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.211009"" data-longitude=""-123.115754"" id=""map""></div>]",$875000,/ 2br - 760ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.168125"" data-longitude=""-122.847742"" id=""map""></div>]",$830000,N/A
[],$280000,/ 2br - 1164ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.265254"" data-longitude=""-123.088585"" id=""map""></div>]",$298000,/ 1br - 635ft
[],$1045000,/ 4br - 1879ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.191441"" data-longitude=""-122.846721"" id=""map""></div>]",$255000,/ 2br - 775ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.330162"" data-longitude=""-123.064022"" id=""map""></div>]",$1258000,/ 2141ft
