lat-lng,price,number of rooms
[],$95000,/ 2br -
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""48.975147"" data-longitude=""-123.060265"" id=""map""></div>]",$309000,/ 2br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.221779"" data-longitude=""-122.674329"" id=""map""></div>]",$515800,/ 3br - 2000ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.230770"" data-longitude=""-122.691815"" id=""map""></div>]",$259900,/ 2br - 950ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.213384"" data-longitude=""-122.600382"" id=""map""></div>]",$168800,/ 2br - 819ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.226735"" data-longitude=""-122.694819"" id=""map""></div>]",$549900,/ 3br - 2489ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.049015"" data-longitude=""-122.812215"" id=""map""></div>]",$769000,/ 8br - 3280ft
"[<div class=""viewposting"" data-accuracy=""10"" data-latitude=""49.272056"" data-longitude=""-123.061651"" id=""map""></div>]",$2488000,/ 7br - 3937ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.050673"" data-longitude=""-122.796609"" id=""map""></div>]",$389900,/ 3br - 1393ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.267399"" data-longitude=""-123.161227"" id=""map""></div>]",$1138000,/ 2br - 1109ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.128333"" data-longitude=""-122.860766"" id=""map""></div>]",$910000,/ 4945ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.220690"" data-longitude=""-122.954780"" id=""map""></div>]",$439999,/ 2br - 850ft
[],$1000000,N/A
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.084067"" data-longitude=""-122.651902"" id=""map""></div>]",$739900,/ 4br - 2300ft
"[<div class=""viewposting"" data-accuracy=""10"" data-latitude=""49.253881"" data-longitude=""-123.111355"" id=""map""></div>]",$474900,/ 2br - 701ft
[],$738900,/ 3br - 1100ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.160800"" data-longitude=""-119.572470"" id=""map""></div>]",$599900,/ 4br - 3200ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.250699"" data-longitude=""-122.899893"" id=""map""></div>]",$169900,/ 1br - 673ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.249174"" data-longitude=""-122.869313"" id=""map""></div>]",$210000,/ 1br - 740ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.176028"" data-longitude=""-122.861455"" id=""map""></div>]",$395000,/ 4br - 1650ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.244619"" data-longitude=""-122.905016"" id=""map""></div>]",$367800,/ 2br - 792ft
[],$799000,/ 4br - 2572ft
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.243342"" data-longitude=""-123.053634"" id=""map""></div>]",$948000,/ 4br - 1409ft
"[<div class=""viewposting"" data-accuracy=""10"" data-latitude=""49.225868"" data-longitude=""-123.005342"" id=""map""></div>]",$578800,/ 2br - 929ft
[],$388900,/ 2br - 682ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.063463"" data-longitude=""-122.803288"" id=""map""></div>]",$425000,/ 3br - 1286ft
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.130482"" data-longitude=""-122.691193"" id=""map""></div>]",$329900,/ 3br - 1398ft
