lat-lng,price,number of rooms
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.266261"" data-longitude=""-122.883889"" id=""map""></div>]",$1295,/ 1br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.196369"" data-longitude=""-122.802504"" id=""map""></div>]",$950,/ 2br - 915ft
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.263016"" data-longitude=""-122.885942"" id=""map""></div>]",$1350,/ 1br - 730ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.285723"" data-longitude=""-123.123132"" id=""map""></div>]",$1400,/ 1br - 450ft
[],$1500,/ 2br - 800ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.115501"" data-longitude=""-122.873527"" id=""map""></div>]",$1000,/ 3br - 1000ft
[],$2600,/ 4br - 1700ft
[],$775,/ 850ft
[],$1795,/ 1br - 755ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.330129"" data-longitude=""-123.122921"" id=""map""></div>]",$2550,/ 2br - 1150ft
[],$900,/ 2br -
[],$1099,/ 2br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.135517"" data-longitude=""-122.895653"" id=""map""></div>]",$1900,/ 4br - 2000ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.209567"" data-longitude=""-122.922154"" id=""map""></div>]",$800,/ 1br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.214070"" data-longitude=""-123.091331"" id=""map""></div>]",$1200,/ 2br -
[],$850,/ 1br - 550ft
[],$650,/ 2br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.319030"" data-longitude=""-123.081790"" id=""map""></div>]",$1480,/ 2br - 880ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.237342"" data-longitude=""-122.770543"" id=""map""></div>]",$1100,/ 2br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.178407"" data-longitude=""-122.836936"" id=""map""></div>]",$1800,/ 4br - 1900ft
[],$2300,/ 4br - 2200ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.007460"" data-longitude=""-122.742519"" id=""map""></div>]",$1200,/ 2br - 900ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.199065"" data-longitude=""-122.852125"" id=""map""></div>]",$1150,/ 2br - 820ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.299130"" data-longitude=""-122.817299"" id=""map""></div>]",$1100,/ 2br - 1200ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.192000"" data-longitude=""-123.107763"" id=""map""></div>]",$1280,/ 2br - 900ft
[],$550,/ 2br - 900ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.229229"" data-longitude=""-122.919159"" id=""map""></div>]",$1500,/ 3br - 1170ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.088923"" data-longitude=""-122.656144"" id=""map""></div>]",$1100,/ 2br -
[],$11500,/ 6br - 6000ft
[],$7500,/ 4br - 4000ft
[],$1100,/ 2br - 1100ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.250267"" data-longitude=""-122.850683"" id=""map""></div>]",$900,/ 1br - 800ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.270111"" data-longitude=""-122.761174"" id=""map""></div>]",$1200,/ 1br - 850ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.264906"" data-longitude=""-123.173647"" id=""map""></div>]",$2600,/ 2br - 1550ft
[],$700,/ 2br - 1550ft
