lat-lng,price,number of rooms
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.346323"" data-longitude=""-123.259728"" id=""map""></div>]",$6500,/ 4br - 3902ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.212839"" data-longitude=""-122.988459"" id=""map""></div>]",$1750,/ 2br - 1200ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.229617"" data-longitude=""-122.845470"" id=""map""></div>]",$1400,/ 1br - 445ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.159932"" data-longitude=""-123.147802"" id=""map""></div>]",$1250,/ 2br - 450ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.135745"" data-longitude=""-123.153118"" id=""map""></div>]",$3200,/ 5br - 2600ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.150358"" data-longitude=""-122.788738"" id=""map""></div>]",$950,/ 2br - 650ft
[],$900,/ 2br - 950ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.279786"" data-longitude=""-123.124168"" id=""map""></div>]",$2200,/ 1br - 585ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.172001"" data-longitude=""-123.144385"" id=""map""></div>]",$1395,/ 1br - 600ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.134132"" data-longitude=""-122.687459"" id=""map""></div>]",$900,/ 2br - 900ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.286313"" data-longitude=""-123.115058"" id=""map""></div>]",$4000,/ 2br - 1200ft
[],$2150,/ 2br - 1200ft
[],$1300,/ 2br - 900ft
[],$1650,/ 450ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.337679"" data-longitude=""-123.108587"" id=""map""></div>]",$1750,/ 2br - 900ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.241117"" data-longitude=""-123.032777"" id=""map""></div>]",$1750,/ 3br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.238420"" data-longitude=""-123.014302"" id=""map""></div>]",$1200,/ 2br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.238420"" data-longitude=""-123.014302"" id=""map""></div>]",$1200,/ 2br -
[],$2320,/ 3br - 950ft
[],$3100,/ 3br - 950ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.288318"" data-longitude=""-123.124605"" id=""map""></div>]",$2000,/ 1br - 815ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.276537"" data-longitude=""-123.011079"" id=""map""></div>]",$1250,/ 2br - 1000ft
[],$2100,/ 4br - 2000ft
[],$1350,/ 2br - 724ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.329010"" data-longitude=""-123.106055"" id=""map""></div>]",$2250,/ 2br - 1250ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.328593"" data-longitude=""-123.122182"" id=""map""></div>]",$1400,/ 1br - 600ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.313953"" data-longitude=""-123.080800"" id=""map""></div>]",$2000,/ 1br -
[],$1200,/ 2br - 900ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.280684"" data-longitude=""-122.821999"" id=""map""></div>]",$1500,/ 3br - 1000ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.236414"" data-longitude=""-123.082434"" id=""map""></div>]",$725,/ 1br - 600ft
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.262428"" data-longitude=""-123.077602"" id=""map""></div>]",$2500,/ 4br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.029005"" data-longitude=""-122.831783"" id=""map""></div>]",$2500,/ 4br - 2400ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.108391"" data-longitude=""-122.836890"" id=""map""></div>]",$1099,/ 3br - 1200ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.150687"" data-longitude=""-123.121676"" id=""map""></div>]",$3000,/ 5br - 2268ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.342740"" data-longitude=""-123.161959"" id=""map""></div>]",$4600,/ 4br - 3043ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.282787"" data-longitude=""-123.137946"" id=""map""></div>]",$3400,/ 2br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.168293"" data-longitude=""-123.137083"" id=""map""></div>]",$1950,/ 2br - 911ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.347945"" data-longitude=""-123.141275"" id=""map""></div>]",$5500,/ 4br - 2900ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.268617"" data-longitude=""-123.066359"" id=""map""></div>]",$1300,/ 1br - 640ft
[],$1097,/ 3br - 1013ft
[],$1250,/ 4br - 1350ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.259300"" data-longitude=""-123.099025"" id=""map""></div>]",$1200,/ 1br - 600ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.241398"" data-longitude=""-123.070750"" id=""map""></div>]",$950,/ 2br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.219727"" data-longitude=""-122.957332"" id=""map""></div>]",$1200,/ 508ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.243565"" data-longitude=""-122.869028"" id=""map""></div>]",$1500,/ 2br - 1100ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.267959"" data-longitude=""-123.208365"" id=""map""></div>]",$4380,/ 5br - 2520ft
[],$740,/ 2br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.157097"" data-longitude=""-122.885047"" id=""map""></div>]",$740,/ 2br -
[],$1200,/ 2br - 700ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.275841"" data-longitude=""-123.128500"" id=""map""></div>]",$1650,/ 1br - 538ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.286725"" data-longitude=""-123.049151"" id=""map""></div>]",$1900,/ 3br - 1600ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.057795"" data-longitude=""-122.449032"" id=""map""></div>]",$850,/ 2br -
[],$5000,/ 2br - 1850ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.214402"" data-longitude=""-123.140420"" id=""map""></div>]",$2750,/ 2br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.260110"" data-longitude=""-122.802599"" id=""map""></div>]",$1150,/ 2br - 1300ft
[],$3500,/ 3br - 1250ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.114557"" data-longitude=""-122.753978"" id=""map""></div>]",$1700,/ 3br - 1300ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.229465"" data-longitude=""-122.963987"" id=""map""></div>]",$2450,/ 3br - 1300ft
[],$3500,/ 3br - 1250ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.229465"" data-longitude=""-122.963987"" id=""map""></div>]",$2450,/ 3br - 1300ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.186130"" data-longitude=""-122.845463"" id=""map""></div>]",$975,/ 1br - 580ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.349919"" data-longitude=""-123.124240"" id=""map""></div>]",$6000,/ 4br - 4700ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.247038"" data-longitude=""-123.023375"" id=""map""></div>]",$2300,/ 5br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.280222"" data-longitude=""-123.117699"" id=""map""></div>]",$2200,/ 1br -
