lat-lng,price,number of rooms
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.229744"" data-longitude=""-122.693817"" id=""map""></div>]",$549000,/ 3br - 1808ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.162761"" data-longitude=""-122.916063"" id=""map""></div>]",$949000,/ 6br - 6600ft
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.271277"" data-longitude=""-123.251066"" id=""map""></div>]",$480000,/ 1br - 580ft
[],$949000,/ 6br - 3435ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.122659"" data-longitude=""-122.655595"" id=""map""></div>]",$439900,/ 3br - 1882ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.324696"" data-longitude=""-123.102661"" id=""map""></div>]",$1099000,/ 4br - 6800ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.323500"" data-longitude=""-123.075328"" id=""map""></div>]",$300000,/ 1br - 790ft
[],$649900,/ 4br - 3828ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.324184"" data-longitude=""-123.076274"" id=""map""></div>]",$1198088,/ 4br - 2514ft
[],$1150000,/ 4br - 3523ft
[],$209900,/ 2br - 881ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.164834"" data-longitude=""-122.645447"" id=""map""></div>]",$254900,/ 2br - 1383ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.171742"" data-longitude=""-122.889566"" id=""map""></div>]",$159900,/ 1br - 634ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.259932"" data-longitude=""-123.129047"" id=""map""></div>]",$308800,/ 1br - 587ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.135836"" data-longitude=""-123.061216"" id=""map""></div>]",$696000,/ 2br - 1310ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.199233"" data-longitude=""-122.538500"" id=""map""></div>]",$1299000,/ 4br - 2950ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.039398"" data-longitude=""-122.870959"" id=""map""></div>]",$1049000,/ 4br - 2326ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.124981"" data-longitude=""-122.690441"" id=""map""></div>]",$390000,/ 4br - 1912ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.299002"" data-longitude=""-122.803227"" id=""map""></div>]",$625000,/ 3br - 2475ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.127100"" data-longitude=""-122.698340"" id=""map""></div>]",$299000,/ 2br - 1060ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.126651"" data-longitude=""-122.878756"" id=""map""></div>]",$479777,/ 3br - 2136ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.122641"" data-longitude=""-122.703355"" id=""map""></div>]",$289000,/ 2br - 1280ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.292833"" data-longitude=""-122.745223"" id=""map""></div>]",$674900,/ 3br - 1700ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.498832"" data-longitude=""-123.775046"" id=""map""></div>]",$198888,/ 13000ft
"[<div class=""viewposting"" data-accuracy=""10"" data-latitude=""49.298894"" data-longitude=""-122.864302"" id=""map""></div>]",$1485000,/ 4br - 3486ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.210988"" data-longitude=""-122.901116"" id=""map""></div>]",$407500,/ 2br - 1102ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.205321"" data-longitude=""-122.938693"" id=""map""></div>]",$1450000,/ 6br - 4064ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.137673"" data-longitude=""-122.838976"" id=""map""></div>]",$768000,/ 7br - 3595ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.243904"" data-longitude=""-123.039461"" id=""map""></div>]",$949000,/ 7br - 2292ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.253129"" data-longitude=""-123.053184"" id=""map""></div>]",$1250000,N/A
"[<div class=""viewposting"" data-accuracy=""10"" data-latitude=""49.217175"" data-longitude=""-122.685516"" id=""map""></div>]",$599900,/ 4br - 2126ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.216650"" data-longitude=""-122.573529"" id=""map""></div>]",$469000,/ 3br - 1421ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.119067"" data-longitude=""-122.837358"" id=""map""></div>]",$519999,/ 5br - 2355ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.284360"" data-longitude=""-122.821577"" id=""map""></div>]",$455000,/ 3br - 1510ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.204394"" data-longitude=""-122.913360"" id=""map""></div>]",$170000,/ 2br - 915ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.093818"" data-longitude=""-122.603638"" id=""map""></div>]",$939900,/ 4br - 3950ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.256866"" data-longitude=""-123.112238"" id=""map""></div>]",$988000,/ 3br - 1920ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.329162"" data-longitude=""-123.160269"" id=""map""></div>]",$1495000,/ 2br - 1235ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.151947"" data-longitude=""-122.777792"" id=""map""></div>]",$274900,/ 2br - 1327ft
[],$2350000,N/A
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.216956"" data-longitude=""-122.957447"" id=""map""></div>]",$379000,/ 2br - 850ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.236076"" data-longitude=""-122.778020"" id=""map""></div>]",$797999,/ 4br - 3460ft
[],$29000,N/A
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.208094"" data-longitude=""-122.905563"" id=""map""></div>]",$179000,/ 1br - 643ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.127248"" data-longitude=""-122.919678"" id=""map""></div>]",$689000,/ 3br - 1590ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.271388"" data-longitude=""-123.168464"" id=""map""></div>]",$4249000,/ 4br - 3152ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.112830"" data-longitude=""-122.852965"" id=""map""></div>]",$224900,/ 1br - 625ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.126262"" data-longitude=""-122.846664"" id=""map""></div>]",$849000,/ 8br - 4061ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.225733"" data-longitude=""-122.991051"" id=""map""></div>]",$512000,/ 2br - 904ft
"[<div class=""viewposting"" data-accuracy=""10"" data-latitude=""49.210694"" data-longitude=""-122.657104"" id=""map""></div>]",$425000,/ 3br -
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.027588"" data-longitude=""-122.803846"" id=""map""></div>]",$329000,/ 2br - 1220ft
[],$65000,N/A
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.087982"" data-longitude=""-121.984105"" id=""map""></div>]",$699900,/ 6br - 3900ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.245383"" data-longitude=""-122.865300"" id=""map""></div>]",$1188000,/ 6br - 4328ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.157145"" data-longitude=""-122.632302"" id=""map""></div>]",$698000,/ 5br - 2571ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.181374"" data-longitude=""-122.848422"" id=""map""></div>]",$575000,/ 3br -
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.047902"" data-longitude=""-122.834380"" id=""map""></div>]",$1118880,/ 3br - 1512ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.206885"" data-longitude=""-123.047723"" id=""map""></div>]",$348900,/ 2br - 879ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.329505"" data-longitude=""-123.153972"" id=""map""></div>]",$438000,/ 2br - 822ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.201505"" data-longitude=""-122.835820"" id=""map""></div>]",$530000,/ 3br - 72000ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.022219"" data-longitude=""-122.808647"" id=""map""></div>]",$769000,/ 2br - 1540ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.022219"" data-longitude=""-122.808647"" id=""map""></div>]",$769000,/ 2br - 1540ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.022219"" data-longitude=""-122.808647"" id=""map""></div>]",$769000,/ 2br - 1540ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.280175"" data-longitude=""-122.833028"" id=""map""></div>]",$394800,/ 2br - 900ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.126621"" data-longitude=""-122.710456"" id=""map""></div>]",$729999,/ 7br -
[],$324000,/ 3br - 1176ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.211418"" data-longitude=""-122.834317"" id=""map""></div>]",$458800,/ 5440ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.243652"" data-longitude=""-122.838897"" id=""map""></div>]",$2288800,/ 6br - 7683ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.283558"" data-longitude=""-123.104142"" id=""map""></div>]",$898000,/ 2br - 1216ft
