lat-lng,price,number of rooms
"[<div class=""viewposting"" data-accuracy=""10"" data-latitude=""49.235719"" data-longitude=""-123.078315"" id=""map""></div>]",$1300,/ 1br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.165487"" data-longitude=""-122.838478"" id=""map""></div>]",$675,/ 1br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.178959"" data-longitude=""-122.911260"" id=""map""></div>]",$1200,/ 2br - 1000ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.318182"" data-longitude=""-123.117295"" id=""map""></div>]",$3695,/ 4br - 2025ft
[],$700,/ 1br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.177998"" data-longitude=""-122.887667"" id=""map""></div>]",$1100,/ 2br - 1000ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.204257"" data-longitude=""-123.134744"" id=""map""></div>]",$1220,/ 1br - 625ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.285158"" data-longitude=""-123.142150"" id=""map""></div>]",$1640,/ 2br - 850ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.357659"" data-longitude=""-123.100093"" id=""map""></div>]",$2600,/ 4br - 1800ft
[],$1100,/ 2br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.232564"" data-longitude=""-123.009710"" id=""map""></div>]",$1400,/ 1br - 700ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.206224"" data-longitude=""-122.907389"" id=""map""></div>]",$975,/ 1br - 700ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.226710"" data-longitude=""-123.012608"" id=""map""></div>]",$1610,/ 2br -
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.258675"" data-longitude=""-123.072066"" id=""map""></div>]",$1400,/ 2br - 600ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.233007"" data-longitude=""-123.009496"" id=""map""></div>]",$1775,/ 2br - 900ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.264067"" data-longitude=""-123.182843"" id=""map""></div>]",$1220,/ 1br - 750ft
[],$2100,/ 1br - 750ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.328391"" data-longitude=""-123.085513"" id=""map""></div>]",$1980,/ 3br - 1100ft
[],$2199,/ 3br - 1500ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.276376"" data-longitude=""-123.131269"" id=""map""></div>]",$4400,/ 3br - 1550ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.232564"" data-longitude=""-123.009710"" id=""map""></div>]",$1480,/ 1br - 780ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.108489"" data-longitude=""-122.837191"" id=""map""></div>]",$1099,/ 3br - 1200ft
[],$750,/ 3br - 1200ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.214118"" data-longitude=""-123.102286"" id=""map""></div>]",$1300,/ 550ft
"[<div class=""viewposting"" data-accuracy=""10"" data-latitude=""49.288311"" data-longitude=""-123.128406"" id=""map""></div>]",$2000,/ 500ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.262806"" data-longitude=""-123.149400"" id=""map""></div>]",$4000,/ 3br - 1500ft
[],$2850,/ 2br - 1250ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.278126"" data-longitude=""-123.118918"" id=""map""></div>]",$2700,/ 1br - 554ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.275703"" data-longitude=""-123.127169"" id=""map""></div>]",$2400,/ 1br - 516ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.267134"" data-longitude=""-123.155187"" id=""map""></div>]",$3250,/ 2br - 872ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.283487"" data-longitude=""-123.131596"" id=""map""></div>]",$1350,/ 1br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.292352"" data-longitude=""-123.138907"" id=""map""></div>]",$2494,/ 2br - 870ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.232304"" data-longitude=""-123.006624"" id=""map""></div>]",$1830,/ 2br - 1057ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.267300"" data-longitude=""-123.099918"" id=""map""></div>]",$1450,/ 600ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.329739"" data-longitude=""-123.101860"" id=""map""></div>]",$2200,/ 1br - 636ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.278485"" data-longitude=""-123.118375"" id=""map""></div>]",$2350,/ 1br - 600ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.122534"" data-longitude=""-122.687631"" id=""map""></div>]",$700,/ 1br - 600ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.273182"" data-longitude=""-123.128341"" id=""map""></div>]",$2300,/ 1br - 757ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.277671"" data-longitude=""-123.099158"" id=""map""></div>]",$2150,/ 1br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.277982"" data-longitude=""-123.121081"" id=""map""></div>]",$2000,/ 1br - 520ft
[],$850,/ 1br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.280739"" data-longitude=""-123.105761"" id=""map""></div>]",$2200,/ 1br - 700ft
[],$580,/ 1br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.256355"" data-longitude=""-123.123580"" id=""map""></div>]",$1800,/ 2br - 950ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.262949"" data-longitude=""-123.186029"" id=""map""></div>]",$1200,/ 400ft
[],$2500,/ 1br - 895ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.020478"" data-longitude=""-122.779469"" id=""map""></div>]",$2200,/ 5br - 2000ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.256093"" data-longitude=""-123.124250"" id=""map""></div>]",$1650,/ 2br - 950ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.276925"" data-longitude=""-123.118491"" id=""map""></div>]",$2695,/ 1br - 700ft
