lat-lng,price,number of rooms
[],$438000,/ 2br - 878ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.212691"" data-longitude=""-122.585921"" id=""map""></div>]",$354880,/ 3br - 1443ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.255426"" data-longitude=""-123.022327"" id=""map""></div>]",$366000,/ 2br - 920ft
[],$230000,/ 2br - 1047ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.320410"" data-longitude=""-122.738314"" id=""map""></div>]",$499000,/ 3br - 1306ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""48.796461"" data-longitude=""-122.704926"" id=""map""></div>]",$149950,/ 3br - 1450ft
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.091293"" data-longitude=""-122.613387"" id=""map""></div>]",$221900,/ 2br - 930ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.240127"" data-longitude=""-123.032980"" id=""map""></div>]",$333000,/ 2br - 740ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.269512"" data-longitude=""-123.138924"" id=""map""></div>]",$668000,/ 2br - 1212ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.212845"" data-longitude=""-123.088457"" id=""map""></div>]",$1449000,/ 6br - 2276ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.057046"" data-longitude=""-122.376087"" id=""map""></div>]",$388000,/ 4br - 2191ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.263874"" data-longitude=""-122.803447"" id=""map""></div>]",$768000,/ 4br - 2636ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.238168"" data-longitude=""-122.858949"" id=""map""></div>]",$249900,/ 1br - 835ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.188203"" data-longitude=""-123.099459"" id=""map""></div>]",$205900,/ 1br - 795ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.234609"" data-longitude=""-123.067667"" id=""map""></div>]",$998888,/ 3br - 3370ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.278577"" data-longitude=""-122.837473"" id=""map""></div>]",$398000,/ 2br - 961ft
[],$425000,/ 4br - 1940ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.211371"" data-longitude=""-122.815179"" id=""map""></div>]",$579000,/ 4br - 2148ft
[],$35000,N/A
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.195749"" data-longitude=""-122.788446"" id=""map""></div>]",$755000,/ 4br - 2300ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.115344"" data-longitude=""-122.764492"" id=""map""></div>]",$799500,/ 5br - 3500ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.055055"" data-longitude=""-122.862253"" id=""map""></div>]",$4388000,/ 82067ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.287881"" data-longitude=""-123.132324"" id=""map""></div>]",$668000,/ 2br - 1104ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.168125"" data-longitude=""-122.847742"" id=""map""></div>]",$830000,/ 8br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.183120"" data-longitude=""-122.804059"" id=""map""></div>]",$189000,/ 2br - 1005ft
[],$164900,/ 2br - 740ft
[],$578000,/ 2br - 1149ft
[],$299000,/ 4br - 1320ft
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.091293"" data-longitude=""-122.613044"" id=""map""></div>]",$221900,/ 2br - 930ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.091293"" data-longitude=""-122.613130"" id=""map""></div>]",$221900,/ 2br - 930ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.134088"" data-longitude=""-122.869658"" id=""map""></div>]",$205000,/ 2br - 940ft
[],$1225000,/ 5br -
[],$268800,/ 2br - 840ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.126116"" data-longitude=""-122.702824"" id=""map""></div>]",$294900,/ 2br - 1007ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.038954"" data-longitude=""-122.790522"" id=""map""></div>]",$661000,/ 4br - 1600ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.265233"" data-longitude=""-123.128702"" id=""map""></div>]",$449000,/ 1br - 775ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.287228"" data-longitude=""-123.115028"" id=""map""></div>]",$1665000,/ 2br - 1481ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.663933"" data-longitude=""-123.189611"" id=""map""></div>]",$677000,/ 15246ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.219713"" data-longitude=""-122.615137"" id=""map""></div>]",$489900,/ 5br - 2600ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""29.488863"" data-longitude=""-98.398705"" id=""map""></div>]",$2368000,/ 5br - 4700ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.030699"" data-longitude=""-122.797102"" id=""map""></div>]",$394900,/ 2br - 1541ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.134701"" data-longitude=""-122.840221"" id=""map""></div>]",$150000,/ 2br - 939ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.252736"" data-longitude=""-122.895126"" id=""map""></div>]",$409900,/ 2br - 959ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.232732"" data-longitude=""-122.534637"" id=""map""></div>]",$519000,N/A
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.026881"" data-longitude=""-122.804179"" id=""map""></div>]",$214900,/ 2br - 1110ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.280352"" data-longitude=""-122.955518"" id=""map""></div>]",$988000,/ 8br -
[],$225000,N/A
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.638696"" data-longitude=""-123.991996"" id=""map""></div>]",$159000,/ 10748ft
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.276721"" data-longitude=""-122.829884"" id=""map""></div>]",$310000,/ 2br - 848ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.147013"" data-longitude=""-122.790167"" id=""map""></div>]",$899900,/ 4916ft
"[<div class=""viewposting"" data-accuracy=""25"" data-latitude=""49.297233"" data-longitude=""-122.747669"" id=""map""></div>]",$1300000,/ 6br - 3961ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.121465"" data-longitude=""-123.158922"" id=""map""></div>]",$399900,/ 776ft
[],$173800,/ 1br - 730ft
