lat-lng,price,number of rooms
[],$640,/ 2br - 787ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.179175"" data-longitude=""-122.834486"" id=""map""></div>]",$1250,/ 3br - 1240ft
[],$5000,/ 5br - 5500ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.261559"" data-longitude=""-122.910664"" id=""map""></div>]",$2000,/ 3br - 2274ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.132616"" data-longitude=""-122.852597"" id=""map""></div>]",$1100,/ 2br - 1250ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.249263"" data-longitude=""-122.868519"" id=""map""></div>]",$1500,/ 780ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.221759"" data-longitude=""-123.156331"" id=""map""></div>]",$9000,/ 6br - 5776ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.013637"" data-longitude=""-123.077056"" id=""map""></div>]",$1350,/ 2br - 1200ft
[],$800,/ 1br - 605ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.248478"" data-longitude=""-123.188152"" id=""map""></div>]",$3900,/ 5br - 3800ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.277920"" data-longitude=""-123.117161"" id=""map""></div>]",$2200,/ 2br - 960ft
[],$1200,/ 550ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.219145"" data-longitude=""-123.124088"" id=""map""></div>]",$1600,/ 1br - 806ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.261232"" data-longitude=""-122.944884"" id=""map""></div>]",$1650,/ 3br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.278641"" data-longitude=""-123.124251"" id=""map""></div>]",$2800,/ 2br - 900ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.230693"" data-longitude=""-123.003085"" id=""map""></div>]",$1440,/ 1br - 647ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.230319"" data-longitude=""-122.999126"" id=""map""></div>]",$1675,/ 2br - 966ft
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.215214"" data-longitude=""-122.901167"" id=""map""></div>]",$1400,/ 1br - 800ft
"[<div class=""viewposting"" data-accuracy=""23"" data-latitude=""49.249722"" data-longitude=""-122.865528"" id=""map""></div>]",$1800,/ 2br - 866ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.232304"" data-longitude=""-123.006624"" id=""map""></div>]",$2785,/ 3br - 1593ft
[],$1150,/ 2br - 750ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.224284"" data-longitude=""-122.940629"" id=""map""></div>]",$1300,/ 1br - 612ft
[],$2400,/ 3br - 1470ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.188421"" data-longitude=""-122.861931"" id=""map""></div>]",$1300,/ 4br - 1200ft
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.223333"" data-longitude=""-122.922510"" id=""map""></div>]",$1300,/ 4br - 1200ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.306951"" data-longitude=""-123.067545"" id=""map""></div>]",$2600,/ 2br - 1000ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.282029"" data-longitude=""-123.131617"" id=""map""></div>]",$1700,/ 1br - 500ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.312310"" data-longitude=""-123.025433"" id=""map""></div>]",$1450,/ 1br - 600ft
[],$1400,/ 1br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.282742"" data-longitude=""-123.141231"" id=""map""></div>]",$1900,/ 1br -
[],$1100,/ 1br - 605ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.283738"" data-longitude=""-123.142238"" id=""map""></div>]",$2800,/ 2br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.333106"" data-longitude=""-123.163351"" id=""map""></div>]",$3900,/ 4br - 3095ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.240690"" data-longitude=""-123.057003"" id=""map""></div>]",$1890,/ 1br - 450ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.106777"" data-longitude=""-122.664106"" id=""map""></div>]",$950,/ 1br - 700ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.278952"" data-longitude=""-123.115779"" id=""map""></div>]",$2180,/ 1br - 650ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.223210"" data-longitude=""-122.558465"" id=""map""></div>]",$2200,/ 4br - 2800ft
[],$2500,/ 5br - 2500ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.220905"" data-longitude=""-122.635875"" id=""map""></div>]",$2250,/ 4br - 1650ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.153650"" data-longitude=""-122.801459"" id=""map""></div>]",$800,/ 2br - 800ft
