lat-lng,price,number of rooms
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.125581"" data-longitude=""-122.820549"" id=""map""></div>]",$575,/ 1br -
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.260610"" data-longitude=""-123.129702"" id=""map""></div>]",$890,/ 150ft
[],$550,/ 1br -
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.208417"" data-longitude=""-122.924506"" id=""map""></div>]",$1100,/ 2br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.283890"" data-longitude=""-122.783182"" id=""map""></div>]",$1750,/ 3br - 1600ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.259593"" data-longitude=""-123.070111"" id=""map""></div>]",$2800,/ 2br - 750ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.188865"" data-longitude=""-122.854089"" id=""map""></div>]",$820,/ 1br - 400ft
[],$1700,/ 2br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.219717"" data-longitude=""-122.992862"" id=""map""></div>]",$1900,/ 3br - 1250ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.264822"" data-longitude=""-123.123769"" id=""map""></div>]",$1650,/ 1br - 650ft
[],$2300,/ 3br - 1500ft
[],$600,/ 1br -
[],$680,/ 1br -
[],$550,/ 1br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.342293"" data-longitude=""-123.179097"" id=""map""></div>]",$1600,/ 1br - 850ft
[],$633,/ 1br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.191184"" data-longitude=""-122.740374"" id=""map""></div>]",$700,/ 1br -
[],$900,/ 1br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.170418"" data-longitude=""-122.977006"" id=""map""></div>]",$1100,/ 1br - 600ft
[],$1000,/ 1br - 670ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.246959"" data-longitude=""-123.028549"" id=""map""></div>]",$900,/ 2br -
[],$1000,/ 1br - 800ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.188856"" data-longitude=""-122.884741"" id=""map""></div>]",$1200,/ 4br - 2000ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.280704"" data-longitude=""-123.105292"" id=""map""></div>]",$1650,/ 700ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.282736"" data-longitude=""-122.793579"" id=""map""></div>]",$1350,/ 1br - 551ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.106002"" data-longitude=""-122.693859"" id=""map""></div>]",$995,/ 2br - 1000ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.112844"" data-longitude=""-122.830431"" id=""map""></div>]",$900,/ 1br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.074850"" data-longitude=""-122.649393"" id=""map""></div>]",$975,/ 3br - 1200ft
[],$925,/ 1br - 1000ft
[],$700,/ 1br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.055955"" data-longitude=""-122.821054"" id=""map""></div>]",$1575,/ 3br - 2000ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.123180"" data-longitude=""-122.890234"" id=""map""></div>]",$1295,/ 2br - 820ft
"[<div class=""viewposting"" data-accuracy=""10"" data-latitude=""49.241879"" data-longitude=""-122.888086"" id=""map""></div>]",$1650,/ 2br - 927ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.214457"" data-longitude=""-123.077044"" id=""map""></div>]",$775,/ 1br - 700ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.137383"" data-longitude=""-122.834439"" id=""map""></div>]",$1045,/ 2br - 965ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.312501"" data-longitude=""-123.074920"" id=""map""></div>]",$1650,/ 1br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.214401"" data-longitude=""-123.077087"" id=""map""></div>]",$975,/ 2br - 800ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.067373"" data-longitude=""-122.014784"" id=""map""></div>]",$900,/ 1br -
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.340389"" data-longitude=""-123.185600"" id=""map""></div>]",$3300,/ 2br - 2000ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.242679"" data-longitude=""-122.858133"" id=""map""></div>]",$775,/ 1br - 700ft
[],$875,/ 2br - 800ft
[],$1450,/ 1br -
[],$1500,/ 2br - 1000ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.039809"" data-longitude=""-122.790284"" id=""map""></div>]",$1175,/ 3br - 1200ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.266698"" data-longitude=""-123.097966"" id=""map""></div>]",$1900,/ 1br - 695ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.074794"" data-longitude=""-122.649264"" id=""map""></div>]",$875,/ 2br - 1000ft
[],$450,/ 750ft
[],$800,/ 2br - 800ft
