lat-lng,price,number of rooms
[],$829800,/ 3br - 2619ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.274295"" data-longitude=""-123.127170"" id=""map""></div>]",$550000,/ 1br - 661ft
[],$1225000,/ 5br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.258750"" data-longitude=""-122.711225"" id=""map""></div>]",$1699000,N/A
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.157374"" data-longitude=""-123.143798"" id=""map""></div>]",$228500,/ 1br - 630ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.342138"" data-longitude=""-123.164519"" id=""map""></div>]",$2888000,/ 5br - 3804ft
"[<div class=""viewposting"" data-accuracy=""10"" data-latitude=""49.340310"" data-longitude=""-123.180623"" id=""map""></div>]",$2998000,/ 3br - 2570ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.161892"" data-longitude=""-121.947213"" id=""map""></div>]",$159999,/ 2br - 980ft
[],$155000,/ 2br - 1131ft
"[<div class=""viewposting"" data-accuracy=""10"" data-latitude=""49.327395"" data-longitude=""-123.086365"" id=""map""></div>]",$1149000,/ 4br - 2146ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.327419"" data-longitude=""-123.086334"" id=""map""></div>]",$1388000,/ 4br - 2663ft
"[<div class=""viewposting"" data-accuracy=""10"" data-latitude=""49.355303"" data-longitude=""-123.135473"" id=""map""></div>]",$3198000,/ 6br - 4400ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""50.108569"" data-longitude=""-122.968842"" id=""map""></div>]",$9999000,/ 6br - 8100ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""48.986230"" data-longitude=""-122.704282"" id=""map""></div>]",$35000,N/A
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.330701"" data-longitude=""-123.154965"" id=""map""></div>]",$268000,/ 1br - 710ft
[],$599900,/ 5br - 2209ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.337645"" data-longitude=""-123.047504"" id=""map""></div>]",$1988000,/ 3br - 2694ft
