lat-lng,price,number of rooms
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.333106"" data-longitude=""-123.163351"" id=""map""></div>]",$3980,/ 4br - 3095ft
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.210448"" data-longitude=""-123.131418"" id=""map""></div>]",$2600,/ 3br - 1200ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.259779"" data-longitude=""-123.135953"" id=""map""></div>]",$1185,/ 1br - 850ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.333106"" data-longitude=""-123.163351"" id=""map""></div>]",$3980,/ 4br - 3095ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.185406"" data-longitude=""-122.899632"" id=""map""></div>]",$1680,/ 3br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""0.000386"" data-longitude=""0.001910"" id=""map""></div>]",$1580,/ 1br - 450ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.330444"" data-longitude=""-123.038281"" id=""map""></div>]",$1750,/ 3br - 1150ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.330444"" data-longitude=""-123.038281"" id=""map""></div>]",$1750,/ 3br - 1150ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.191688"" data-longitude=""-122.854488"" id=""map""></div>]",$775,/ 1br -
"[<div class=""viewposting"" data-accuracy=""10"" data-latitude=""49.228321"" data-longitude=""-122.917708"" id=""map""></div>]",$850,/ 650ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.191688"" data-longitude=""-122.854488"" id=""map""></div>]",$950,/ 2br -
[],$7900,/ 4br -
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.127640"" data-longitude=""-122.690548"" id=""map""></div>]",$900,/ 2br - 1000ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.177032"" data-longitude=""-122.908272"" id=""map""></div>]",$850,/ 1br -
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.048304"" data-longitude=""-122.772260"" id=""map""></div>]",$3000,/ 4br - 3800ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.224464"" data-longitude=""-123.006406"" id=""map""></div>]",$1350,/ 2br - 900ft
[],$1200,/ 2br - 1100ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.267323"" data-longitude=""-123.113732"" id=""map""></div>]",$2750,/ 1br - 750ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.245229"" data-longitude=""-123.035460"" id=""map""></div>]",$1100,/ 2br - 750ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.142333"" data-longitude=""-122.877545"" id=""map""></div>]",$1350,/ 3br -
[],$2380,/ 3br - 1600ft
[],$800,/ 2br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.287879"" data-longitude=""-123.136139"" id=""map""></div>]",$1400,/ 470ft
[],$1100,/ 2br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.260733"" data-longitude=""-123.134800"" id=""map""></div>]",$2400,/ 2br - 1100ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.257788"" data-longitude=""-123.067446"" id=""map""></div>]",$1580,/ 1br - 450ft
[],$1580,/ 1br - 450ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.287879"" data-longitude=""-123.126698"" id=""map""></div>]",$2300,/ 2br - 825ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.257788"" data-longitude=""-123.067446"" id=""map""></div>]",$1580,/ 1br - 450ft
"[<div class=""viewposting"" data-accuracy=""10"" data-latitude=""49.219167"" data-longitude=""-122.946376"" id=""map""></div>]",$980,/ 1br - 750ft
[],$900,/ 1br - 700ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.287959"" data-longitude=""-123.124356"" id=""map""></div>]",$3395,/ 2br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.208417"" data-longitude=""-122.924506"" id=""map""></div>]",$1100,/ 2br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.347605"" data-longitude=""-123.073397"" id=""map""></div>]",$3500,/ 3br - 3000ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.268790"" data-longitude=""-123.112080"" id=""map""></div>]",$6000,/ 2br - 900ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.284613"" data-longitude=""-122.782987"" id=""map""></div>]",$1890,/ 3br - 1350ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.274523"" data-longitude=""-123.112236"" id=""map""></div>]",$2650,/ 2br - 900ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.284613"" data-longitude=""-122.782987"" id=""map""></div>]",$1780,/ 3br - 1350ft
[],$2380,/ 3br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.210364"" data-longitude=""-123.131375"" id=""map""></div>]",$2600,/ 3br - 1200ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.210308"" data-longitude=""-123.131418"" id=""map""></div>]",$2600,/ 3br - 1200ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.152829"" data-longitude=""-122.924588"" id=""map""></div>]",$2300,/ 4br - 2302ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.210533"" data-longitude=""-123.131547"" id=""map""></div>]",$2600,/ 3br - 1200ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.186422"" data-longitude=""-122.861776"" id=""map""></div>]",$1200,/ 3br - 1300ft
[],$800,/ 2br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.186422"" data-longitude=""-122.861776"" id=""map""></div>]",$1700,/ 4br - 2140ft
[],$1050,/ 1br - 500ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.280467"" data-longitude=""-123.117037"" id=""map""></div>]",$3500,/ 2br - 922ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.238259"" data-longitude=""-123.074049"" id=""map""></div>]",$3200,/ 4br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.269214"" data-longitude=""-123.242249"" id=""map""></div>]",$10000,/ 6br - 5000ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.224841"" data-longitude=""-123.130340"" id=""map""></div>]",$5000,/ 6br - 4400ft
