lat-lng,price,number of rooms
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.281072"" data-longitude=""-123.008125"" id=""map""></div>]",$354000,/ 1br - 618ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.275937"" data-longitude=""-123.128704"" id=""map""></div>]",$1748000,/ 3br - 1435ft
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.195854"" data-longitude=""-122.924738"" id=""map""></div>]",$296500,/ 2br - 960ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.249712"" data-longitude=""-122.904971"" id=""map""></div>]",$218800,/ 1br - 962ft
"[<div class=""viewposting"" data-accuracy=""10"" data-latitude=""49.239438"" data-longitude=""-122.858762"" id=""map""></div>]",$313800,/ 2br - 1236ft
[],$589000,/ 4br - 1000ft
[],$239500,/ 1br - 684ft
[],$29000,N/A
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.168811"" data-longitude=""-123.134142"" id=""map""></div>]",$699000,/ 3br - 1530ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.082998"" data-longitude=""-122.801258"" id=""map""></div>]",$1090000,/ 3br - 2046ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.345373"" data-longitude=""-123.037823"" id=""map""></div>]",$1299800,/ 4br - 2470ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.635675"" data-longitude=""-124.038782"" id=""map""></div>]",$341900,/ 3br - 2236ft
[],$300000,/ 1br - 747ft
[],$1250000,N/A
[],$1250000,N/A
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.196569"" data-longitude=""-122.803888"" id=""map""></div>]",$199000,/ 2br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.162859"" data-longitude=""-122.773174"" id=""map""></div>]",$1270000,/ 8br -
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.165715"" data-longitude=""-123.121752"" id=""map""></div>]",$238888,/ 1br - 550ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.056574"" data-longitude=""-122.488335"" id=""map""></div>]",$465000,/ 4br - 2040ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.286220"" data-longitude=""-122.796156"" id=""map""></div>]",$308800,/ 2br - 1093ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.242332"" data-longitude=""-122.618922"" id=""map""></div>]",$1499000,/ 3br - 2446ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.134298"" data-longitude=""-122.698719"" id=""map""></div>]",$289000,/ 2br - 1363ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.031198"" data-longitude=""-122.838883"" id=""map""></div>]",$289000,/ 2br - 1229ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.224669"" data-longitude=""-122.627274"" id=""map""></div>]",$509900,/ 4br - 2168ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.091519"" data-longitude=""-122.660559"" id=""map""></div>]",$675000,/ 3br - 1656ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.100980"" data-longitude=""-122.666579"" id=""map""></div>]",$329000,/ 3br - 1395ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.276925"" data-longitude=""-123.118491"" id=""map""></div>]",$629880,/ 2br - 772ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""51.610968"" data-longitude=""-120.110071"" id=""map""></div>]",$130000,N/A
[],$1980000,/ 6br - 2907ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.088989"" data-longitude=""-122.422585"" id=""map""></div>]",$3499900,/ 3br - 2600ft
[],$799000,/ 7br - 2032ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.310072"" data-longitude=""-122.857003"" id=""map""></div>]",$1189000,/ 5br - 2913ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.306687"" data-longitude=""-122.830525"" id=""map""></div>]",$825000,/ 3br - 2190ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.280754"" data-longitude=""-123.115110"" id=""map""></div>]",$6488000,/ 3br - 3087ft
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.198952"" data-longitude=""-122.851439"" id=""map""></div>]",$249888,/ 2br - 1000ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.210751"" data-longitude=""-122.596463"" id=""map""></div>]",$249000,/ 2br - 1332ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.120554"" data-longitude=""-123.158970"" id=""map""></div>]",$279900,/ 1br - 631ft
[],$199000,/ 3br - 1376ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.263300"" data-longitude=""-122.800514"" id=""map""></div>]",$778800,/ 4br - 2701ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.208119"" data-longitude=""-122.961907"" id=""map""></div>]",$373900,/ 2br - 973ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.178000"" data-longitude=""-122.846503"" id=""map""></div>]",$199900,/ 1br - 610ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.194690"" data-longitude=""-122.889676"" id=""map""></div>]",$449000,N/A
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.005342"" data-longitude=""-122.735567"" id=""map""></div>]",$999995,/ 6br - 3720ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.018564"" data-longitude=""-122.790950"" id=""map""></div>]",$2188000,/ 5br - 4461ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.134007"" data-longitude=""-122.537558"" id=""map""></div>]",$3288000,/ 7br - 7362ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.263842"" data-longitude=""-122.989562"" id=""map""></div>]",$489000,/ 2br - 899ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.211418"" data-longitude=""-122.834317"" id=""map""></div>]",$458800,/ 5440ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.042299"" data-longitude=""-122.757368"" id=""map""></div>]",$829800,/ 3br - 2619ft
[],$234900,/ 1br - 665ft
