lat-lng,price,number of rooms
[],$850000,/ 6br - 7440ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.038881"" data-longitude=""-122.786036"" id=""map""></div>]",$684500,/ 4br - 2155ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.170589"" data-longitude=""-122.892074"" id=""map""></div>]",$640000,/ 6br -
[],$379900,/ 1br - 636ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.092202"" data-longitude=""-123.073766"" id=""map""></div>]",$868800,/ 4br - 2424ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.160983"" data-longitude=""-122.575641"" id=""map""></div>]",$1098800,/ 4br - 2361ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.002577"" data-longitude=""-123.066968"" id=""map""></div>]",$1168800,/ 4br - 5053ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.028230"" data-longitude=""-123.069996"" id=""map""></div>]",$385000,/ 2br - 927ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.024400"" data-longitude=""-123.066057"" id=""map""></div>]",$199900,/ 1br - 681ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.006449"" data-longitude=""-123.084745"" id=""map""></div>]",$1688800,/ 2br - 2387ft
[],$280623,/ 2br - 889ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.002577"" data-longitude=""-123.082044"" id=""map""></div>]",$1298800,/ 4br - 2733ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.151336"" data-longitude=""-122.933003"" id=""map""></div>]",$978888,/ 7br - 3055ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.095742"" data-longitude=""-123.061831"" id=""map""></div>]",$1988800,/ 6br - 5297ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.025455"" data-longitude=""-123.058625"" id=""map""></div>]",$849900,/ 4br - 2620ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.097808"" data-longitude=""-123.065983"" id=""map""></div>]",$1928800,/ 6br - 5917ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.086460"" data-longitude=""-123.102301"" id=""map""></div>]",$1138800,/ 5br - 2232ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.030229"" data-longitude=""-123.075597"" id=""map""></div>]",$749900,/ 4br - 2518ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.135137"" data-longitude=""-122.842246"" id=""map""></div>]",$259900,/ 3br - 1523ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.918957"" data-longitude=""-125.185647"" id=""map""></div>]",$399900,/ 2br -
[],$1450000,N/A
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""50.466920"" data-longitude=""-104.628288"" id=""map""></div>]",$399000,/ 5br - 2000ft
[],$1399888,/ 5br - 4747ft
[],$459900,/ 2br - 1151ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.105985"" data-longitude=""-122.723806"" id=""map""></div>]",$575000,/ 3br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.220345"" data-longitude=""-122.609630"" id=""map""></div>]",$739000,/ 4br - 2900ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.279348"" data-longitude=""-123.120249"" id=""map""></div>]",$419000,/ 1br - 621ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.323884"" data-longitude=""-123.056298"" id=""map""></div>]",$1798000,/ 6br - 3795ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.643721"" data-longitude=""-124.059033"" id=""map""></div>]",$995000,/ 3br - 2100ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.321199"" data-longitude=""-123.092460"" id=""map""></div>]",$537000,/ 2br - 960ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.086524"" data-longitude=""-122.652580"" id=""map""></div>]",$989000,/ 5br - 3270ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.168125"" data-longitude=""-122.847742"" id=""map""></div>]",$830000,N/A
