lat-lng,price,number of rooms
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.286474"" data-longitude=""-123.127569"" id=""map""></div>]",$2250,/ 2br - 720ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.281009"" data-longitude=""-123.111849"" id=""map""></div>]",$2695,/ 2br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.252708"" data-longitude=""-123.066080"" id=""map""></div>]",$2000,/ 2br - 775ft
[],$900,/ 2br - 775ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.015158"" data-longitude=""-123.073678"" id=""map""></div>]",$2400,/ 3br - 1680ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.005870"" data-longitude=""-122.748957"" id=""map""></div>]",$3500,/ 4br - 3466ft
"[<div class=""viewposting"" data-accuracy=""10"" data-latitude=""49.341211"" data-longitude=""-123.145041"" id=""map""></div>]",$4750,/ 3br - 3000ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.232564"" data-longitude=""-123.009710"" id=""map""></div>]",$1420,/ 1br - 780ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.131327"" data-longitude=""-123.187157"" id=""map""></div>]",$3000,/ 4br - 2000ft
[],$850,/ 2br -
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.351254"" data-longitude=""-123.084660"" id=""map""></div>]",$4500,/ 3br - 2327ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.347606"" data-longitude=""-123.080681"" id=""map""></div>]",$3485,/ 4br - 3004ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.109886"" data-longitude=""-122.858584"" id=""map""></div>]",$700,/ 1br -
[],$1195,/ 1br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.045770"" data-longitude=""-122.862466"" id=""map""></div>]",$2500,/ 5br - 2600ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.209477"" data-longitude=""-122.935600"" id=""map""></div>]",$1800,/ 3br -
