lat-lng,price,number of rooms
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.214830"" data-longitude=""-122.999224"" id=""map""></div>]",$2600,/ 5br -
[],$850,/ 2br - 900ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.293477"" data-longitude=""-122.758012"" id=""map""></div>]",$1200,/ 2br - 950ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.262192"" data-longitude=""-123.180968"" id=""map""></div>]",$2900,/ 3br - 1200ft
[],$1300,/ 2br - 850ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.212270"" data-longitude=""-122.930318"" id=""map""></div>]",$1350,/ 2br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.277786"" data-longitude=""-122.958982"" id=""map""></div>]",$2750,/ 5br - 2550ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.158943"" data-longitude=""-123.152357"" id=""map""></div>]",$2300,/ 3br - 1300ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.329695"" data-longitude=""-123.122434"" id=""map""></div>]",$1400,/ 1br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.158739"" data-longitude=""-122.834446"" id=""map""></div>]",$1750,/ 4br - 2000ft
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.287011"" data-longitude=""-123.128436"" id=""map""></div>]",$1650,/ 602ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.227957"" data-longitude=""-122.995090"" id=""map""></div>]",$4750,/ 3br - 1374ft
[],$750,/ 2br - 1000ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.067484"" data-longitude=""-122.801453"" id=""map""></div>]",$2100,/ 2br - 970ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.302904"" data-longitude=""-122.775429"" id=""map""></div>]",$1350,/ 3br - 1370ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.339250"" data-longitude=""-123.074899"" id=""map""></div>]",$3800,/ 3br - 1295ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.218024"" data-longitude=""-123.184094"" id=""map""></div>]",$5800,/ 4br - 3500ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.292249"" data-longitude=""-123.138793"" id=""map""></div>]",$2494,/ 2br - 870ft
[],$750,/ 2br -
