lat-lng,price,number of rooms
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.281216"" data-longitude=""-123.059235"" id=""map""></div>]",$1400,/ 514ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.281216"" data-longitude=""-123.047862"" id=""map""></div>]",$1400,/ 530ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.206224"" data-longitude=""-122.907389"" id=""map""></div>]",$975,/ 400ft
[],$2500,/ 3br - 3000ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.340196"" data-longitude=""-123.176994"" id=""map""></div>]",$4995,/ 5br - 3007ft
[],$3295,/ 5br - 2500ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.188718"" data-longitude=""-123.100533"" id=""map""></div>]",$2300,/ 3br - 1940ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.319159"" data-longitude=""-123.007633"" id=""map""></div>]",$3295,/ 5br - 2500ft
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.347885"" data-longitude=""-123.178711"" id=""map""></div>]",$8495,/ 4br - 5352ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.340301"" data-longitude=""-123.204308"" id=""map""></div>]",$6495,/ 3br - 3150ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.392849"" data-longitude=""-123.255444"" id=""map""></div>]",$4995,/ 5br - 4155ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.338398"" data-longitude=""-123.182584"" id=""map""></div>]",$3995,/ 3br - 2267ft
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.355740"" data-longitude=""-123.084683"" id=""map""></div>]",$4995,/ 4br - 2813ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.345469"" data-longitude=""-123.253086"" id=""map""></div>]",$4995,/ 4br - 3123ft
[],$3995,/ 4br - 3300ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.372820"" data-longitude=""-123.279417"" id=""map""></div>]",$4995,/ 5br - 4075ft
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.336589"" data-longitude=""-123.157854"" id=""map""></div>]",$3795,/ 3br - 2200ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.337559"" data-longitude=""-123.179077"" id=""map""></div>]",$2995,/ 2br - 1500ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.390417"" data-longitude=""-123.256939"" id=""map""></div>]",$3795,/ 3br - 3000ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.251489"" data-longitude=""-122.852323"" id=""map""></div>]",$1200,/ 2br - 1000ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.196172"" data-longitude=""-122.865842"" id=""map""></div>]",$700,/ 1br - 675ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.190651"" data-longitude=""-122.739944"" id=""map""></div>]",$700,/ 1br -
[],$1850,/ 1br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.191070"" data-longitude=""-122.935636"" id=""map""></div>]",$600,/ 1br -
[],$3150,/ 2br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.030436"" data-longitude=""-122.780753"" id=""map""></div>]",$850,/ 1br - 700ft
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.020673"" data-longitude=""-122.768155"" id=""map""></div>]",$2000,/ 4br - 1800ft
[],$1100,/ 1160ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.237314"" data-longitude=""-122.770500"" id=""map""></div>]",$1100,/ 2br - 700ft
"[<div class=""viewposting"" data-accuracy=""10"" data-latitude=""49.343104"" data-longitude=""-123.211882"" id=""map""></div>]",$5500,/ 4br - 2910ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.232304"" data-longitude=""-123.006624"" id=""map""></div>]",$1830,/ 2br - 1057ft
[],$1800,/ 4br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.276989"" data-longitude=""-123.129137"" id=""map""></div>]",$1900,/ 1br - 611ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.272061"" data-longitude=""-123.121462"" id=""map""></div>]",$2550,/ 2br - 903ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.289740"" data-longitude=""-123.126708"" id=""map""></div>]",$2700,/ 2br - 942ft
[],$3200,/ 5br - 2600ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.280701"" data-longitude=""-123.065787"" id=""map""></div>]",$875,/ 400ft
"[<div class=""viewposting"" data-accuracy=""10"" data-latitude=""49.067359"" data-longitude=""-122.801241"" id=""map""></div>]",$1750,/ 2br - 1240ft
[],$1150,/ 1br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.163811"" data-longitude=""-122.749781"" id=""map""></div>]",$800,/ 1br -
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.280852"" data-longitude=""-123.014259"" id=""map""></div>]",$2400,/ 4br -
[],$1800,/ 1br - 509ft
[],$800,/ 2br -
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.273181"" data-longitude=""-123.129015"" id=""map""></div>]",$3550,/ 2br -
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.281036"" data-longitude=""-123.108820"" id=""map""></div>]",$2695,/ 1br - 775ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.126008"" data-longitude=""-122.812278"" id=""map""></div>]",$650,/ 1br -
"[<div class=""viewposting"" data-accuracy=""17"" data-latitude=""49.170613"" data-longitude=""-122.911317"" id=""map""></div>]",$1200,/ 1br - 600ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.160211"" data-longitude=""-122.911220"" id=""map""></div>]",$1250,/ 1br - 790ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.219752"" data-longitude=""-122.954887"" id=""map""></div>]",$1295,/ 2br - 1000ft
[],$1495,/ 1br - 777ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.153489"" data-longitude=""-122.787206"" id=""map""></div>]",$2650,/ 4br - 3000ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.310937"" data-longitude=""-123.046084"" id=""map""></div>]",$3000,/ 4br - 2500ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.067613"" data-longitude=""-122.801488"" id=""map""></div>]",$1750,/ 2br - 1240ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.259954"" data-longitude=""-123.137282"" id=""map""></div>]",$1250,/ 505ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.316129"" data-longitude=""-123.074706"" id=""map""></div>]",$1350,/ 1br - 715ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.159869"" data-longitude=""-122.893194"" id=""map""></div>]",$850,/ 1br - 620ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.275801"" data-longitude=""-123.000440"" id=""map""></div>]",$700,/ 1br - 620ft
[],$1400,/ 1br - 800ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.074569"" data-longitude=""-122.324095"" id=""map""></div>]",$1850,/ 4br - 3000ft
[],$2700,/ 2br - 780ft
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.304181"" data-longitude=""-122.781422"" id=""map""></div>]",$1280,/ 3br - 1480ft
"[<div class=""viewposting"" data-accuracy=""5"" data-latitude=""49.210364"" data-longitude=""-123.131418"" id=""map""></div>]",$2600,/ 3br - 1200ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.255438"" data-longitude=""-123.022197"" id=""map""></div>]",$1600,/ 2br - 1000ft
"[<div class=""viewposting"" data-accuracy=""0"" data-latitude=""49.210420"" data-longitude=""-123.131418"" id=""map""></div>]",$2600,/ 3br - 1200ft
[],$1150,/ 440ft
[],$1400,/ 2br - 1200ft
"[<div class=""viewposting"" data-accuracy=""10"" data-latitude=""49.005527"" data-longitude=""-122.735398"" id=""map""></div>]",$800,/ 2br -
